prefix,city,province,operator,is_mobile,is_valid
02317,12 De Octubre,Buenos Aires,,false,true
02924,17 De Agosto,Buenos Aires,,false,true
02345,25 De Mayo,Buenos Aires,,false,true
02392,30 De Agosto,Buenos Aires,,false,true
02317,9 De Julio,Buenos Aires,,false,true
0221,Abasto,Buenos Aires,,false,true
02271,Abbott,Buenos Aires,,false,true
02477,Acevedo,Buenos Aires,,false,true
02983,Adolfo Gonzalez Chaves,Buenos Aires,,false,true
0236,Agustin Roca,Buenos Aires,,false,true
0236,Agustina,Buenos Aires,,false,true
02346,Alberti,Buenos Aires,,false,true
02225,Alejandro Korn,Buenos Aires,,false,true
02226,Alejandro Petion,Buenos Aires,,false,true
02927,Algarrobo,Buenos Aires,,false,true
03329,Alsina,Buenos Aires,,false,true
02223,Altamirano,Buenos Aires,,false,true
02344,Alvarez De Toledo,Buenos Aires,,false,true
011,Amba Capital Federal Y Gran Buenos Aires,Buenos Aires,,false,true
03388,Ameghino,Buenos Aires,,false,true
02337,America,Buenos Aires,,false,true
02227,Antonio Carboni,Buenos Aires,,false,true
02983,Aparicio,Buenos Aires,,false,true
02316,Arboledas,Buenos Aires,,false,true
02355,Arenaza,Buenos Aires,,false,true
02927,Argerich,Buenos Aires,,false,true
02478,Arrecifes,Buenos Aires,,false,true
02353,Arribenos,Buenos Aires,,false,true
02923,Arroyo Corto,Buenos Aires,,false,true
02477,Arroyo Dulce,Buenos Aires,,false,true
02353,Ascencion,Buenos Aires,,false,true
02221,Atalaya,Buenos Aires,,false,true
02296,Ayacucho,Buenos Aires,,false,true
02325,Azcuenaga,Buenos Aires,,false,true
02281,Azul,Buenos Aires,,false,true
0291,Bahia Blanca,Buenos Aires,,false,true
0236,Baigorrita,Buenos Aires,,false,true
02932,Bajo Hondo,Buenos Aires,,false,true
02266,Balcarce,Buenos Aires,,false,true
02921,Balneario Pehuen Co,Buenos Aires,,false,true
03388,Banderalo,Buenos Aires,,false,true
03329,Baradero,Buenos Aires,,false,true
0223,Barrio El Casal,Buenos Aires,,false,true
0223,Barrio La Armonia,Buenos Aires,,false,true
0237,Barrio Mi Rincon,Buenos Aires,,false,true
0223,Barrio Parque Pena,Buenos Aires,,false,true
0221,Barrio Parque Sicardi,Buenos Aires,,false,true
0223,Barrio San Eduardo,Buenos Aires,,false,true
02226,Barrio San Esteban,Buenos Aires,,false,true
0221,Bartolome Bavio,Buenos Aires,,false,true
0223,Batan,Buenos Aires,,false,true
02355,Bayauca,Buenos Aires,,false,true
02395,Bellocq,Buenos Aires,,false,true
03327,Benavidez,Buenos Aires,,false,true
02346,Benitez,Buenos Aires,,false,true
02292,Benito Juarez,Buenos Aires,,false,true
02925,Bernasconi,Buenos Aires,,false,true
02392,Berutti,Buenos Aires,,false,true
03388,Blaquier,Buenos Aires,,false,true
02314,Bolivar,Buenos Aires,,false,true
02929,Bonifacio,Buenos Aires,,false,true
02924,Bordenave,Buenos Aires,,false,true
02342,Bragado,Buenos Aires,,false,true
02323,Brahma,Buenos Aires,,false,true
0291,Cabildo,Buenos Aires,,false,true
02281,Cachari,Buenos Aires,,false,true
02395,Cadret,Buenos Aires,,false,true
03489,Campana,Buenos Aires,,false,true
0336,Campos Salles,Buenos Aires,,false,true
03382,Canada Seca,Buenos Aires,,false,true
02226,Canuelas,Buenos Aires,,false,true
02323,Capilla Del Senor,Buenos Aires,,false,true
02478,Capitan Sarmiento,Buenos Aires,,false,true
02475,Carabelas,Buenos Aires,,false,true
02936,Carhue,Buenos Aires,,false,true
02254,Carilo,Buenos Aires,,false,true
02227,Carlos Beguerie,Buenos Aires,,false,true
02395,Carlos Casares,Buenos Aires,,false,true
02323,Carlos Keen,Buenos Aires,,false,true
02317,Carlos Maria Naon,Buenos Aires,,false,true
02357,Carlos Salas,Buenos Aires,,false,true
02274,Carlos Spegazzini,Buenos Aires,,false,true
02357,Carlos Tejedor,Buenos Aires,,false,true
02273,Carmen De Areco,Buenos Aires,,false,true
02929,Casbas,Buenos Aires,,false,true
02245,Castelli,Buenos Aires,,false,true
02324,Castilla,Buenos Aires,,false,true
02344,Cazon,Buenos Aires,,false,true
02352,Chacabuco,Buenos Aires,,false,true
02241,Chascomus,Buenos Aires,,false,true
0291,Chasico,Buenos Aires,,false,true
02396,Chiclana,Buenos Aires,,false,true
02281,Chillar,Buenos Aires,,false,true
02346,Chivilcoy,Buenos Aires,,false,true
02264,Claraz,Buenos Aires,,false,true
02982,Claromeco,Buenos Aires,,false,true
02473,Colon,Buenos Aires,,false,true
0223,Colonia Barragan,Buenos Aires,,false,true
02357,Colonia Sere,Buenos Aires,,false,true
02291,Comandante N Otamendi,Buenos Aires,,false,true
02342,Comodoro Py,Buenos Aires,,false,true
0336,Conesa,Buenos Aires,,false,true
02983,Copetonas,Buenos Aires,,false,true
02223,Coronel Brandsen,Buenos Aires,,false,true
03388,Coronel Charlone,Buenos Aires,,false,true
02921,Coronel Dorrego,Buenos Aires,,false,true
02356,Coronel Granada,Buenos Aires,,false,true
02346,Coronel Mom,Buenos Aires,,false,true
02922,Coronel Pringles,Buenos Aires,,false,true
02926,Coronel Suarez,Buenos Aires,,false,true
02265,Coronel Vidal,Buenos Aires,,false,true
02352,Cucha Cucha,Buenos Aires,,false,true
02325,Cucullu,Buenos Aires,,false,true
02357,Curaru,Buenos Aires,,false,true
02316,Daireaux,Buenos Aires,,false,true
02924,Darregueira,Buenos Aires,,false,true
02983,De La Garma,Buenos Aires,,false,true
02344,Del Carril,Buenos Aires,,false,true
02320,Del Viso,Buenos Aires,,false,true
02317,Dennehy,Buenos Aires,,false,true
0230,Derqui,Buenos Aires,,false,true
0348,Dique Lujan,Buenos Aires,,false,true
02245,Dolores,Buenos Aires,,false,true
02225,Domselaar,Buenos Aires,,false,true
03388,Drable,Buenos Aires,,false,true
02317,Dudignac,Buenos Aires,,false,true
02923,Dufaur,Buenos Aires,,false,true
02326,Duggan,Buenos Aires,,false,true
02473,El Arbolito,Buenos Aires,,false,true
03388,El Dia,Buenos Aires,,false,true
02354,El Dorado,Buenos Aires,,false,true
0223,El Faro,Buenos Aires,,false,true
03407,El Paraiso,Buenos Aires,,false,true
02229,El Pato,Buenos Aires,,false,true
02921,El Perdido,Buenos Aires,,false,true
02477,El Socorro,Buenos Aires,,false,true
02355,El Triunfo,Buenos Aires,,false,true
03388,Elordi,Buenos Aires,,false,true
02343,Elvira,Buenos Aires,,false,true
03388,Emilio Bunge,Buenos Aires,,false,true
02936,Erize,Buenos Aires,,false,true
02343,Ernestina,Buenos Aires,,false,true
0348,Escobar,Buenos Aires,,false,true
02923,Espartillar,Buenos Aires,,false,true
02314,Espigas,Buenos Aires,,false,true
0223,Estacion Camet,Buenos Aires,,false,true
02223,Estacion Gomez,Buenos Aires,,false,true
02478,Estacion Vina,Buenos Aires,,false,true
02924,Esteban Agustin Gascon,Buenos Aires,,false,true
0230,Fatima,Buenos Aires,,false,true
02925,Felipe Sola,Buenos Aires,,false,true
02353,Ferre,Buenos Aires,,false,true
02323,Flandria,Buenos Aires,,false,true
02477,Fontezuela,Buenos Aires,,false,true
02337,Fortin Olavarria,Buenos Aires,,false,true
02353,Fortin Tiburcio,Buenos Aires,,false,true
0237,Francisco Alvarez,Buenos Aires,,false,true
02396,Francisco Madero,Buenos Aires,,false,true
02317,French,Buenos Aires,,false,true
02474,Gahan,Buenos Aires,,false,true
0249,Gardey,Buenos Aires,,false,true
0348,Garin,Buenos Aires,,false,true
02929,Garre,Buenos Aires,,false,true
02344,General Alvear,Buenos Aires,,false,true
02353,General Arenales,Buenos Aires,,false,true
02243,General Belgrano,Buenos Aires,,false,true
02245,General Conesa,Buenos Aires,,false,true
02268,General Guido,Buenos Aires,,false,true
02286,General Lamadrid,Buenos Aires,,false,true
0220,General Las Heras,Buenos Aires,,false,true
02252,General Lavalle,Buenos Aires,,false,true
02267,General Madariaga,Buenos Aires,,false,true
02356,General Pinto,Buenos Aires,,false,true
02265,General Piran,Buenos Aires,,false,true
02324,General Rivas,Buenos Aires,,false,true
0237,General Rodriguez,Buenos Aires,,false,true
0336,General Rojo,Buenos Aires,,false,true
02925,General San Martin,Buenos Aires,,false,true
03388,General Villegas,Buenos Aires,,false,true
02356,Germania,Buenos Aires,,false,true
02224,Glew,Buenos Aires,,false,true
03329,Gobernador Castro,Buenos Aires,,false,true
